plant_type,soil_pct,temperature,humidity,light
money_plant,52.56,33.4,64.8,698.33
snake_plant,82.35,33.4,64.8,698.33
cactus,83.19,33.4,64.8,698.33
money_plant,52.33,33.4,64.9,755.0
snake_plant,82.38,33.4,64.9,755.0
cactus,83.16,33.4,64.9,755.0
money_plant,51.91,33.3,64.9,737.5
snake_plant,82.38,33.3,64.9,737.5
cactus,83.07,33.3,64.9,737.5
money_plant,51.64,33.3,65.0,782.5
snake_plant,82.41,33.3,65.0,782.5
cactus,83.0,33.3,65.0,782.5
money_plant,51.23,33.2,63.6,875.83
snake_plant,82.25,33.2,63.6,875.83
cactus,82.94,33.2,63.6,875.83
money_plant,50.96,33.2,65.0,896.67
snake_plant,82.54,33.2,65.0,896.67
cactus,83.0,33.2,65.0,896.67
money_plant,50.87,33.2,64.6,1020.83
snake_plant,82.38,33.2,64.6,1020.83
cactus,82.91,33.2,64.6,1020.83
money_plant,50.34,33.2,64.1,994.17
snake_plant,82.32,33.2,64.1,994.17
cactus,82.67,33.2,64.1,994.17
money_plant,50.31,33.3,63.8,988.33
snake_plant,82.44,33.3,63.8,988.33
cactus,82.7,33.3,63.8,988.33
money_plant,49.9,33.4,64.3,992.5
snake_plant,82.5,33.4,64.3,992.5
cactus,82.7,33.4,64.3,992.5
money_plant,49.75,33.5,63.8,1041.67
snake_plant,82.38,33.5,63.8,1041.67
cactus,82.52,33.5,63.8,1041.67
money_plant,49.54,33.4,63.6,1067.5
snake_plant,82.54,33.4,63.6,1067.5
cactus,82.19,33.4,63.6,1067.5
money_plant,49.42,33.5,62.6,1093.33
snake_plant,82.6,33.5,62.6,1093.33
cactus,82.06,33.5,62.6,1093.33
money_plant,49.24,33.6,63.2,1139.17
snake_plant,82.5,33.6,63.2,1139.17
cactus,82.31,33.6,63.2,1139.17
money_plant,48.86,33.6,63.4,1080.0
snake_plant,82.66,33.6,63.4,1080.0
cactus,82.55,33.6,63.4,1080.0
money_plant,48.8,33.7,63.3,971.67
snake_plant,82.6,33.7,63.3,971.67
cactus,82.49,33.7,63.3,971.67
money_plant,48.95,33.7,63.3,965.83
snake_plant,83.57,33.7,63.3,965.83
cactus,81.94,33.7,63.3,965.83
money_plant,48.41,33.7,63.0,1015.0
snake_plant,83.69,33.7,63.0,1015.0
cactus,81.94,33.7,63.0,1015.0
money_plant,48.24,33.8,62.9,1031.67
snake_plant,83.82,33.8,62.9,1031.67
cactus,81.88,33.8,62.9,1031.67
money_plant,49.39,33.8,62.4,859.17
snake_plant,84.01,33.8,62.4,859.17
cactus,81.97,33.8,62.4,859.17
money_plant,48.06,33.8,63.1,925.83
snake_plant,83.63,33.8,63.1,925.83
cactus,81.67,33.8,63.1,925.83
money_plant,48.71,33.8,62.4,975.0
snake_plant,84.04,33.8,62.4,975.0
cactus,81.76,33.8,62.4,975.0
money_plant,47.59,33.8,62.6,900.83
snake_plant,83.97,33.8,62.6,900.83
cactus,81.7,33.8,62.6,900.83
money_plant,47.64,33.8,63.0,870.83
snake_plant,83.94,33.8,63.0,870.83
cactus,82.03,33.8,63.0,870.83
money_plant,47.53,33.7,63.2,836.67
snake_plant,84.19,33.7,63.2,836.67
cactus,81.49,33.7,63.2,836.67
money_plant,47.32,33.7,63.2,795.0
snake_plant,83.91,33.7,63.2,795.0
cactus,81.64,33.7,63.2,795.0
money_plant,47.11,33.6,63.2,809.17
snake_plant,83.88,33.6,63.2,809.17
cactus,81.58,33.6,63.2,809.17
money_plant,47.17,33.6,63.4,785.0
snake_plant,84.1,33.6,63.4,785.0
cactus,81.49,33.6,63.4,785.0
money_plant,46.9,33.5,63.1,802.5
snake_plant,84.04,33.5,63.1,802.5
cactus,80.97,33.5,63.1,802.5
money_plant,46.81,33.5,62.8,821.67
snake_plant,83.88,33.5,62.8,821.67
cactus,79.79,33.5,62.8,821.67
money_plant,46.87,33.5,62.5,808.33
snake_plant,84.57,33.5,62.5,808.33
cactus,81.21,33.5,62.5,808.33
money_plant,46.61,33.4,63.4,795.0
snake_plant,84.6,33.4,63.4,795.0
cactus,81.15,33.4,63.4,795.0
money_plant,46.22,33.4,63.1,908.33
snake_plant,84.6,33.4,63.1,908.33
cactus,81.15,33.4,63.1,908.33
money_plant,46.34,33.5,63.3,886.67
snake_plant,84.13,33.5,63.3,886.67
cactus,81.06,33.5,63.3,886.67
money_plant,46.04,33.5,62.7,803.33
snake_plant,84.51,33.5,62.7,803.33
cactus,81.0,33.5,62.7,803.33
money_plant,45.96,33.4,63.5,802.5
snake_plant,84.57,33.4,63.5,802.5
cactus,80.97,33.4,63.5,802.5
money_plant,45.99,33.4,63.6,843.33
snake_plant,84.6,33.4,63.6,843.33
cactus,81.06,33.4,63.6,843.33
money_plant,45.78,33.5,63.6,910.83
snake_plant,84.6,33.5,63.6,910.83
cactus,81.0,33.5,63.6,910.83
money_plant,45.6,33.5,63.2,909.17
snake_plant,84.54,33.5,63.2,909.17
cactus,80.97,33.5,63.2,909.17
money_plant,45.78,33.6,63.1,935.0
snake_plant,84.54,33.6,63.1,935.0
cactus,80.61,33.6,63.1,935.0
money_plant,45.63,33.7,63.1,955.83
snake_plant,84.6,33.7,63.1,955.83
cactus,80.73,33.7,63.1,955.83
money_plant,45.51,33.6,62.9,900.0
snake_plant,84.69,33.6,62.9,900.0
cactus,80.7,33.6,62.9,900.0
money_plant,45.51,33.7,62.8,920.0
snake_plant,84.6,33.7,62.8,920.0
cactus,80.39,33.7,62.8,920.0
money_plant,45.51,33.7,62.9,894.17
snake_plant,84.6,33.7,62.9,894.17
cactus,80.58,33.7,62.9,894.17
money_plant,45.51,33.8,62.9,890.0
snake_plant,84.69,33.8,62.9,890.0
cactus,80.49,33.8,62.9,890.0
money_plant,45.51,33.8,62.5,813.33
snake_plant,84.51,33.8,62.5,813.33
cactus,80.36,33.8,62.5,813.33
money_plant,44.86,33.8,62.6,769.17
snake_plant,84.38,33.8,62.6,769.17
cactus,80.12,33.8,62.6,769.17
money_plant,44.71,33.7,62.9,755.0
snake_plant,84.63,33.7,62.9,755.0
cactus,80.06,33.7,62.9,755.0
money_plant,44.62,33.7,63.2,792.5
snake_plant,84.1,33.7,63.2,792.5
cactus,79.67,33.7,63.2,792.5
money_plant,44.5,33.7,63.2,810.0
snake_plant,84.6,33.7,63.2,810.0
cactus,79.64,33.7,63.2,810.0
money_plant,44.33,33.8,62.9,803.33
snake_plant,84.23,33.8,62.9,803.33
cactus,79.54,33.8,62.9,803.33
money_plant,44.24,33.9,62.7,741.67
snake_plant,84.41,33.9,62.7,741.67
cactus,79.76,33.9,62.7,741.67
money_plant,59.76,33.9,62.6,752.5
snake_plant,84.13,33.9,62.6,752.5
cactus,79.61,33.9,62.6,752.5
money_plant,57.99,33.8,62.9,765.0
snake_plant,83.44,33.8,62.9,765.0
cactus,79.39,33.8,62.9,765.0
money_plant,56.89,33.8,63.1,770.83
snake_plant,83.88,33.8,63.1,770.83
cactus,79.12,33.8,63.1,770.83
money_plant,55.61,33.8,63.3,880.83
snake_plant,82.94,33.8,63.3,880.83
cactus,79.21,33.8,63.3,880.83
money_plant,54.43,33.9,61.9,860.0
snake_plant,84.32,33.9,61.9,860.0
cactus,79.42,33.9,61.9,860.0
money_plant,53.81,33.9,61.5,860.83
snake_plant,84.19,33.9,61.5,860.83
cactus,79.18,33.9,61.5,860.83
money_plant,53.54,34.0,61.6,865.0
snake_plant,84.26,34.0,61.6,865.0
cactus,79.12,34.0,61.6,865.0
money_plant,53.16,34.0,61.8,786.67
snake_plant,84.51,34.0,61.8,786.67
cactus,78.91,34.0,61.8,786.67
money_plant,53.19,34.0,61.7,730.0
snake_plant,84.38,34.0,61.7,730.0
cactus,78.79,34.0,61.7,730.0
money_plant,52.74,34.0,61.6,739.17
snake_plant,84.41,34.0,61.6,739.17
cactus,78.94,34.0,61.6,739.17
money_plant,52.62,34.1,61.4,804.17
snake_plant,84.1,34.1,61.4,804.17
cactus,78.73,34.1,61.4,804.17
money_plant,52.59,34.1,61.5,760.83
snake_plant,85.16,34.1,61.5,760.83
cactus,78.57,34.1,61.5,760.83
money_plant,52.0,34.1,61.6,846.67
snake_plant,84.26,34.1,61.6,846.67
cactus,78.51,34.1,61.6,846.67
money_plant,52.15,34.1,61.6,803.33
snake_plant,84.26,34.1,61.6,803.33
cactus,78.73,34.1,61.6,803.33
money_plant,52.09,34.2,61.6,856.67
snake_plant,84.16,34.2,61.6,856.67
cactus,78.33,34.2,61.6,856.67
money_plant,52.0,34.2,61.6,855.0
snake_plant,84.07,34.2,61.6,855.0
cactus,78.15,34.2,61.6,855.0
money_plant,51.64,34.3,61.5,835.83
snake_plant,83.72,34.3,61.5,835.83
cactus,77.97,34.3,61.5,835.83
money_plant,52.65,34.3,61.5,702.5
snake_plant,84.04,34.3,61.5,702.5
cactus,78.03,34.3,61.5,702.5
money_plant,51.64,34.2,61.5,663.33
snake_plant,84.1,34.2,61.5,663.33
cactus,77.72,34.2,61.5,663.33
money_plant,49.42,34.2,61.9,660.0
snake_plant,84.19,34.2,61.9,660.0
cactus,77.75,34.2,61.9,660.0
money_plant,52.62,34.2,61.9,762.5
snake_plant,84.16,34.2,61.9,762.5
cactus,77.69,34.2,61.9,762.5
money_plant,51.59,34.2,61.3,752.5
snake_plant,84.29,34.2,61.3,752.5
cactus,77.69,34.2,61.3,752.5
money_plant,51.32,34.3,61.5,805.0
snake_plant,83.91,34.3,61.5,805.0
cactus,77.69,34.3,61.5,805.0
money_plant,51.26,34.3,61.7,805.83
snake_plant,83.82,34.3,61.7,805.83
cactus,77.69,34.3,61.7,805.83
money_plant,51.41,34.4,61.1,797.5
snake_plant,84.01,34.4,61.1,797.5
cactus,76.87,34.4,61.1,797.5
money_plant,51.2,34.4,61.2,769.17
snake_plant,84.04,34.4,61.2,769.17
cactus,77.69,34.4,61.2,769.17
money_plant,51.38,34.3,61.3,657.5
snake_plant,84.1,34.3,61.3,657.5
cactus,77.03,34.3,61.3,657.5
money_plant,51.23,34.3,61.4,690.0
snake_plant,84.07,34.3,61.4,690.0
cactus,77.12,34.3,61.4,690.0
money_plant,51.38,34.3,61.3,723.33
snake_plant,84.1,34.3,61.3,723.33
cactus,76.75,34.3,61.3,723.33
money_plant,51.64,34.3,61.3,759.17
snake_plant,85.07,34.3,61.3,759.17
cactus,76.69,34.3,61.3,759.17
money_plant,51.29,34.3,61.7,708.33
snake_plant,84.1,34.3,61.7,708.33
cactus,79.39,34.3,61.7,708.33
money_plant,51.02,34.2,61.5,679.17
snake_plant,84.04,34.2,61.5,679.17
cactus,76.72,34.2,61.5,679.17
money_plant,51.02,34.2,61.7,675.0
snake_plant,83.94,34.2,61.7,675.0
cactus,76.54,34.2,61.7,675.0
money_plant,51.17,34.1,61.9,667.5
snake_plant,84.01,34.1,61.9,667.5
cactus,77.69,34.1,61.9,667.5
money_plant,51.64,34.0,62.0,690.0
snake_plant,83.6,34.0,62.0,690.0
cactus,76.39,34.0,62.0,690.0
money_plant,50.73,33.9,61.8,743.33
snake_plant,83.69,33.9,61.8,743.33
cactus,76.42,33.9,61.8,743.33
money_plant,50.7,33.9,62.3,748.33
snake_plant,84.1,33.9,62.3,748.33
cactus,76.9,33.9,62.3,748.33
money_plant,50.61,33.9,62.3,660.0
snake_plant,83.94,33.9,62.3,660.0
cactus,74.2,33.9,62.3,660.0
money_plant,50.16,33.9,61.3,610.0
snake_plant,83.97,33.9,61.3,610.0
cactus,76.27,33.9,61.3,610.0
money_plant,50.22,33.8,62.1,582.5
snake_plant,83.6,33.8,62.1,582.5
cactus,76.15,33.8,62.1,582.5
money_plant,50.49,33.8,62.2,610.83
snake_plant,83.88,33.8,62.2,610.83
cactus,76.15,33.8,62.2,610.83
money_plant,50.28,33.8,62.2,658.33
snake_plant,83.76,33.8,62.2,658.33
cactus,76.08,33.8,62.2,658.33
money_plant,49.9,33.8,62.4,749.17
snake_plant,83.69,33.8,62.4,749.17
cactus,76.02,33.8,62.4,749.17
money_plant,50.16,33.9,62.0,734.17
snake_plant,83.63,33.9,62.0,734.17
cactus,76.02,33.9,62.0,734.17
money_plant,49.07,34.0,62.1,709.17
snake_plant,83.79,34.0,62.1,709.17
cactus,75.9,34.0,62.1,709.17
money_plant,49.66,34.1,62.1,680.0
snake_plant,83.6,34.1,62.1,680.0
cactus,75.78,34.1,62.1,680.0
money_plant,49.48,34.2,62.0,645.83
snake_plant,83.41,34.2,62.0,645.83
cactus,75.63,34.2,62.0,645.83
money_plant,49.45,34.2,61.7,680.0
snake_plant,83.88,34.2,61.7,680.0
cactus,75.63,34.2,61.7,680.0
money_plant,49.6,34.2,61.9,599.17
snake_plant,83.69,34.2,61.9,599.17
cactus,75.63,34.2,61.9,599.17
money_plant,49.39,34.1,62.4,595.83
snake_plant,83.44,34.1,62.4,595.83
cactus,75.14,34.1,62.4,595.83
money_plant,49.36,34.1,62.2,695.83
snake_plant,83.6,34.1,62.2,695.83
cactus,79.58,34.1,62.2,695.83
money_plant,49.21,34.2,62.1,793.33
snake_plant,83.6,34.2,62.1,793.33
cactus,75.27,34.2,62.1,793.33
money_plant,48.98,34.3,61.9,780.83
snake_plant,83.44,34.3,61.9,780.83
cactus,75.11,34.3,61.9,780.83
money_plant,49.07,34.3,61.7,779.17
snake_plant,83.41,34.3,61.7,779.17
cactus,75.05,34.3,61.7,779.17
money_plant,48.95,34.3,61.6,751.67
snake_plant,82.38,34.3,61.6,751.67
cactus,75.33,34.3,61.6,751.67
money_plant,48.65,34.3,61.6,744.17
snake_plant,83.41,34.3,61.6,744.17
cactus,75.08,34.3,61.6,744.17
money_plant,48.74,34.3,61.5,748.33
snake_plant,82.41,34.3,61.5,748.33
cactus,74.9,34.3,61.5,748.33
money_plant,48.65,34.4,61.3,734.17
snake_plant,83.29,34.4,61.3,734.17
cactus,75.02,34.4,61.3,734.17
money_plant,48.24,34.4,61.2,650.0
snake_plant,83.38,34.4,61.2,650.0
cactus,75.02,34.4,61.2,650.0
money_plant,48.24,34.4,61.3,657.5
snake_plant,83.41,34.4,61.3,657.5
cactus,74.84,34.4,61.3,657.5
money_plant,48.18,34.4,60.9,633.33
snake_plant,82.97,34.4,60.9,633.33
cactus,74.54,34.4,60.9,633.33
money_plant,47.85,34.5,60.7,622.5
snake_plant,82.97,34.5,60.7,622.5
cactus,74.32,34.5,60.7,622.5
money_plant,47.7,34.4,60.8,621.67
snake_plant,83.07,34.4,60.8,621.67
cactus,74.26,34.4,60.8,621.67
money_plant,47.35,34.4,61.0,587.5
snake_plant,83.1,34.4,61.0,587.5
cactus,74.54,34.4,61.0,587.5
money_plant,47.85,34.4,61.2,609.17
snake_plant,84.44,34.4,61.2,609.17
cactus,74.26,34.4,61.2,609.17
money_plant,47.56,34.3,60.9,596.67
snake_plant,82.79,34.3,60.9,596.67
cactus,74.29,34.3,60.9,596.67
money_plant,47.08,34.3,61.1,542.5
snake_plant,82.6,34.3,61.1,542.5
cactus,74.26,34.3,61.1,542.5
money_plant,47.2,34.2,61.3,538.33
snake_plant,82.6,34.2,61.3,538.33
cactus,74.26,34.2,61.3,538.33
money_plant,46.9,34.2,61.2,521.67
snake_plant,82.6,34.2,61.2,521.67
cactus,74.08,34.2,61.2,521.67
money_plant,46.73,34.1,61.3,564.17
snake_plant,82.66,34.1,61.3,564.17
cactus,73.96,34.1,61.3,564.17
money_plant,46.64,34.1,60.8,589.17
snake_plant,82.63,34.1,60.8,589.17
cactus,73.84,34.1,60.8,589.17
money_plant,50.55,34.1,61.5,564.17
snake_plant,82.6,34.1,61.5,564.17
cactus,73.93,34.1,61.5,564.17
money_plant,45.96,34.0,61.4,515.83
snake_plant,82.6,34.0,61.4,515.83
cactus,73.84,34.0,61.4,515.83
money_plant,46.1,34.0,61.6,487.5
snake_plant,82.25,34.0,61.6,487.5
cactus,73.6,34.0,61.6,487.5
money_plant,45.96,34.0,61.7,446.67
snake_plant,82.1,34.0,61.7,446.67
cactus,73.75,34.0,61.7,446.67
money_plant,45.93,34.0,62.0,460.0
snake_plant,82.19,34.0,62.0,460.0
cactus,73.75,34.0,62.0,460.0
money_plant,45.87,34.0,61.6,500.83
snake_plant,82.1,34.0,61.6,500.83
cactus,73.69,34.0,61.6,500.83
money_plant,45.93,34.0,61.7,550.83
snake_plant,82.25,34.0,61.7,550.83
cactus,73.29,34.0,61.7,550.83
money_plant,45.66,34.1,61.9,585.0
snake_plant,81.91,34.1,61.9,585.0
cactus,73.29,34.1,61.9,585.0
money_plant,45.66,34.1,61.7,523.33
snake_plant,82.13,34.1,61.7,523.33
cactus,73.35,34.1,61.7,523.33
